"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_SAFETY","Measure_safety","MEASURE_SAFETY"
"287","CRI","Costa Rica",2017,12.2,"Intentional homicides","HOMIC"
"288","CRI","Costa Rica",2018,11.7,"Intentional homicides","HOMIC"
"289","CRI","Costa Rica",2019,11.1,"Intentional homicides","HOMIC"
"290","CRI","Costa Rica",2020,11.2,"Intentional homicides","HOMIC"
"291","CRI","Costa Rica",2021,11.4,"Intentional homicides","HOMIC"
"292","CRI","Costa Rica",2022,12.6,"Intentional homicides","HOMIC"
"293","CRI","Costa Rica",2023,17.2,"Intentional homicides","HOMIC"
"294","HRV","Croatia",2010,11.3,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"295","HRV","Croatia",2011,11.91,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"296","HRV","Croatia",2012,10.52,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"297","HRV","Croatia",2013,10.27,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"298","HRV","Croatia",2014,8.92,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"299","HRV","Croatia",2015,10.5,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"300","HRV","Croatia",2016,9.47,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"301","HRV","Croatia",2017,10.1,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"302","HRV","Croatia",2018,9.85,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"303","HRV","Croatia",2018,0.6,"Intentional homicides","HOMIC"
"304","HRV","Croatia",2019,0.8,"Intentional homicides","HOMIC"
"305","HRV","Croatia",2020,1,"Intentional homicides","HOMIC"
"306","HRV","Croatia",2021,0.9,"Intentional homicides","HOMIC"
"307","HRV","Croatia",2022,0.8,"Intentional homicides","HOMIC"
"308","HRV","Croatia",2023,0.7,"Intentional homicides","HOMIC"
"309","HRV","Croatia",2018,23.1,"Motor vehicle theft","VEH_THEFT"
"310","HRV","Croatia",2019,26.2,"Motor vehicle theft","VEH_THEFT"
"311","HRV","Croatia",2020,18,"Motor vehicle theft","VEH_THEFT"
"312","HRV","Croatia",2021,17.7,"Motor vehicle theft","VEH_THEFT"
"313","HRV","Croatia",2022,20.3,"Motor vehicle theft","VEH_THEFT"
"314","HRV","Croatia",2023,19.3,"Motor vehicle theft","VEH_THEFT"
"315","CYP","Cyprus",2010,10.1,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"316","CYP","Cyprus",2011,9.28,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"317","CYP","Cyprus",2012,7.64,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"318","CYP","Cyprus",2013,5.92,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"319","CYP","Cyprus",2014,6.1,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"320","CYP","Cyprus",2015,7.79,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"321","CYP","Cyprus",2016,6.11,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"322","CYP","Cyprus",2017,6.86,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"323","CYP","Cyprus",2018,5.52,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"324","CZE","Czechia",2019,33.3,"Motor vehicle theft","VEH_THEFT"
"325","CZE","Czechia",2011,8.6,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"326","CZE","Czechia",2012,8.19,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"327","CZE","Czechia",2013,7.56,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"328","CZE","Czechia",2014,7.71,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
"329","CZE","Czechia",2015,8.05,"Mortality from transport accidents","MORT_ICDV_CRUDE_RATIO"
