"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_EL","Edu_attainment_lvl","ATTAINMENT_LEV"
"46","ARG","Argentina",2023,43.56904221,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"47","ARG","Argentina",2023,32.17717361,"Below upper secondary education","ISCED11A_0T2"
"48","ARG","Argentina",2023,23.67523003,"Tertiary education","ISCED11A_5T8"
"49","ARG","Argentina",2022,23.68571091,"Tertiary education","ISCED11A_5T8"
"50","ARG","Argentina",2022,33.57898712,"Below upper secondary education","ISCED11A_0T2"
"51","ARG","Argentina",2022,42.18297195,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"52","AUS","Australia",2014,41.901855,"Tertiary education","ISCED11A_5T8"
"53","AUS","Australia",2014,35.202309,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"54","AUS","Australia",2014,22.895836,"Below upper secondary education","ISCED11A_0T2"
"55","AUS","Australia",2018,45.727478,"Tertiary education","ISCED11A_5T8"
"56","AUS","Australia",2018,36.163879,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"57","AUS","Australia",2018,18.108641,"Below upper secondary education","ISCED11A_0T2"
"58","AUS","Australia",2017,19.012659,"Below upper secondary education","ISCED11A_0T2"
"59","AUS","Australia",2017,35.631668,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"60","AUS","Australia",2017,45.355675,"Tertiary education","ISCED11A_5T8"
"61","AUS","Australia",2016,43.7439,"Tertiary education","ISCED11A_5T8"
"62","AUS","Australia",2016,36.188747,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"63","AUS","Australia",2016,20.067352,"Below upper secondary education","ISCED11A_0T2"
"64","AUS","Australia",2015,20.980896,"Below upper secondary education","ISCED11A_0T2"
"65","AUS","Australia",2015,36.130348,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"66","AUS","Australia",2015,42.888756,"Tertiary education","ISCED11A_5T8"
"67","AUS","Australia",2024,53.0903701782227,"Tertiary education","ISCED11A_5T8"
"68","AUS","Australia",2024,33.9024543762207,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"69","AUS","Australia",2024,13.0071773529053,"Below upper secondary education","ISCED11A_0T2"
"70","AUS","Australia",2019,17.132658,"Below upper secondary education","ISCED11A_0T2"
"71","AUS","Australia",2019,35.737366,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"72","AUS","Australia",2019,47.129978,"Tertiary education","ISCED11A_5T8"
"73","AUS","Australia",2020,49.337452,"Tertiary education","ISCED11A_5T8"
"74","AUS","Australia",2020,34.417572,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"75","AUS","Australia",2020,16.244976,"Below upper secondary education","ISCED11A_0T2"
"76","AUS","Australia",2021,15.46888,"Below upper secondary education","ISCED11A_0T2"
"77","AUS","Australia",2021,34.763252,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"78","AUS","Australia",2021,49.767868,"Tertiary education","ISCED11A_5T8"
"79","AUS","Australia",2023,14.35910416,"Below upper secondary education","ISCED11A_0T2"
"80","AUS","Australia",2023,34.23783875,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"81","AUS","Australia",2023,51.4030571,"Tertiary education","ISCED11A_5T8"
"82","AUS","Australia",2022,51.4958992,"Tertiary education","ISCED11A_5T8"
"83","AUS","Australia",2022,33.74349594,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"84","AUS","Australia",2022,14.76060295,"Below upper secondary education","ISCED11A_0T2"
"85","AUT","Austria",2004,51.550304,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"86","AUT","Austria",2005,52.305584,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"87","AUT","Austria",2006,54.771961,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"88","AUT","Austria",2007,54.844437,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"89","AUT","Austria",2008,54.688057,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"90","AUT","Austria",2009,54.749195,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"91","AUT","Austria",2010,54.608784,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"92","AUT","Austria",2011,54.407017,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"93","AUT","Austria",2012,54.176529,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"94","AUT","Austria",2004,24.783438,"Tertiary education","ISCED11A_5T8"
"95","AUT","Austria",2005,24.639351,"Tertiary education","ISCED11A_5T8"
"96","AUT","Austria",2006,25.356432,"Tertiary education","ISCED11A_5T8"
"97","AUT","Austria",2007,25.092672,"Tertiary education","ISCED11A_5T8"
"98","AUT","Austria",2008,26.191858,"Tertiary education","ISCED11A_5T8"
"99","AUT","Austria",2009,26.895824,"Tertiary education","ISCED11A_5T8"
"100","AUT","Austria",2010,27.743721,"Tertiary education","ISCED11A_5T8"
"101","AUT","Austria",2011,27.956152,"Tertiary education","ISCED11A_5T8"
"102","AUT","Austria",2012,28.739943,"Tertiary education","ISCED11A_5T8"
"103","AUT","Austria",2004,23.66626,"Below upper secondary education","ISCED11A_0T2"
"104","AUT","Austria",2005,23.055067,"Below upper secondary education","ISCED11A_0T2"
"105","AUT","Austria",2006,19.871609,"Below upper secondary education","ISCED11A_0T2"
"106","AUT","Austria",2007,20.062889,"Below upper secondary education","ISCED11A_0T2"
"107","AUT","Austria",2008,19.120087,"Below upper secondary education","ISCED11A_0T2"
"108","AUT","Austria",2009,18.354979,"Below upper secondary education","ISCED11A_0T2"
"109","AUT","Austria",2010,17.647495,"Below upper secondary education","ISCED11A_0T2"
"110","AUT","Austria",2011,17.636829,"Below upper secondary education","ISCED11A_0T2"
"111","AUT","Austria",2012,17.08353,"Below upper secondary education","ISCED11A_0T2"
"112","AUT","Austria",2013,17.028002,"Below upper secondary education","ISCED11A_0T2"
"113","AUT","Austria",2013,29.738844,"Tertiary education","ISCED11A_5T8"
"114","AUT","Austria",2013,53.233154,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"115","AUT","Austria",2014,53.951103,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"116","AUT","Austria",2014,29.904896,"Tertiary education","ISCED11A_5T8"
"117","AUT","Austria",2014,16.143999,"Below upper secondary education","ISCED11A_0T2"
"118","AUT","Austria",2018,52.586048,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"119","AUT","Austria",2018,32.711426,"Tertiary education","ISCED11A_5T8"
"120","AUT","Austria",2018,14.702526,"Below upper secondary education","ISCED11A_0T2"
"121","AUT","Austria",2017,15.037577,"Below upper secondary education","ISCED11A_0T2"
"122","AUT","Austria",2017,32.39439,"Tertiary education","ISCED11A_5T8"
"123","AUT","Austria",2017,52.568035,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"124","AUT","Austria",2016,53.144444,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"125","AUT","Austria",2016,31.383963,"Tertiary education","ISCED11A_5T8"
"126","AUT","Austria",2016,15.471591,"Below upper secondary education","ISCED11A_0T2"
"127","AUT","Austria",2015,15.351305,"Below upper secondary education","ISCED11A_0T2"
"128","AUT","Austria",2015,30.550726,"Tertiary education","ISCED11A_5T8"
"129","AUT","Austria",2015,54.097969,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"130","AUT","Austria",2024,49.1891670227051,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"131","AUT","Austria",2024,37.7356567382812,"Tertiary education","ISCED11A_5T8"
"132","AUT","Austria",2024,13.0751733779907,"Below upper secondary education","ISCED11A_0T2"
"133","AUT","Austria",2019,14.435863,"Below upper secondary education","ISCED11A_0T2"
"134","AUT","Austria",2019,33.773777,"Tertiary education","ISCED11A_5T8"
"135","AUT","Austria",2019,51.790359,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"136","AUT","Austria",2020,51.452774,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"137","AUT","Austria",2020,34.205894,"Tertiary education","ISCED11A_5T8"
"138","AUT","Austria",2020,14.341329,"Below upper secondary education","ISCED11A_0T2"
"139","AUT","Austria",2021,14.060361,"Below upper secondary education","ISCED11A_0T2"
"140","AUT","Austria",2021,34.604504,"Tertiary education","ISCED11A_5T8"
"141","AUT","Austria",2021,51.335136,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"142","AUT","Austria",2023,13.98437786,"Below upper secondary education","ISCED11A_0T2"
"143","AUT","Austria",2023,36.61970901,"Tertiary education","ISCED11A_5T8"
"144","AUT","Austria",2023,49.39591599,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"145","AUT","Austria",2022,50.394012,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"146","AUT","Austria",2022,35.553291,"Tertiary education","ISCED11A_5T8"
"147","AUT","Austria",2022,14.052697,"Below upper secondary education","ISCED11A_0T2"
"148","BEL","Belgium",2014,36.695625,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"149","BEL","Belgium",2014,26.44935,"Below upper secondary education","ISCED11A_0T2"
"150","BEL","Belgium",2014,36.855022,"Tertiary education","ISCED11A_5T8"
"151","BEL","Belgium",2018,37.588238,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"152","BEL","Belgium",2018,21.773218,"Below upper secondary education","ISCED11A_0T2"
"153","BEL","Belgium",2018,40.638546,"Tertiary education","ISCED11A_5T8"
"154","BEL","Belgium",2017,40.257053,"Tertiary education","ISCED11A_5T8"
"155","BEL","Belgium",2017,23.202787,"Below upper secondary education","ISCED11A_0T2"
"156","BEL","Belgium",2017,36.540157,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"157","BEL","Belgium",2016,37.59021,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"158","BEL","Belgium",2016,24.905834,"Below upper secondary education","ISCED11A_0T2"
"159","BEL","Belgium",2016,37.503956,"Tertiary education","ISCED11A_5T8"
"160","BEL","Belgium",2015,36.857422,"Tertiary education","ISCED11A_5T8"
"161","BEL","Belgium",2015,25.322903,"Below upper secondary education","ISCED11A_0T2"
"162","BEL","Belgium",2015,37.819675,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"163","BEL","Belgium",2024,37.7716827392578,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"164","BEL","Belgium",2024,17.1953964233398,"Below upper secondary education","ISCED11A_0T2"
"165","BEL","Belgium",2024,45.0329208374023,"Tertiary education","ISCED11A_5T8"
"166","BEL","Belgium",2019,40.67009,"Tertiary education","ISCED11A_5T8"
"167","BEL","Belgium",2019,21.313864,"Below upper secondary education","ISCED11A_0T2"
"168","BEL","Belgium",2019,38.016045,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"169","BEL","Belgium",2020,37.338799,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"170","BEL","Belgium",2020,20.218918,"Below upper secondary education","ISCED11A_0T2"
"171","BEL","Belgium",2020,42.442284,"Tertiary education","ISCED11A_5T8"
"172","BEL","Belgium",2021,44.873066,"Tertiary education","ISCED11A_5T8"
"173","BEL","Belgium",2021,18.473303,"Below upper secondary education","ISCED11A_0T2"
"174","BEL","Belgium",2021,36.653629,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"175","BEL","Belgium",2023,44.80752182,"Tertiary education","ISCED11A_5T8"
"176","BEL","Belgium",2023,17.8370266,"Below upper secondary education","ISCED11A_0T2"
"177","BEL","Belgium",2023,37.35544968,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"178","BEL","Belgium",2022,36.669788,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"179","BEL","Belgium",2022,17.56086,"Below upper secondary education","ISCED11A_0T2"
"180","BEL","Belgium",2022,45.769352,"Tertiary education","ISCED11A_5T8"
"181","BRA","Brazil",2018,35.321396,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"182","BRA","Brazil",2018,18.355165,"Tertiary education","ISCED11A_5T8"
"183","BRA","Brazil",2018,46.323441,"Below upper secondary education","ISCED11A_0T2"
"184","BRA","Brazil",2017,48.041367,"Below upper secondary education","ISCED11A_0T2"
"185","BRA","Brazil",2017,17.146753,"Tertiary education","ISCED11A_5T8"
"186","BRA","Brazil",2017,34.811878,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"187","BRA","Brazil",2016,34.312836,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"188","BRA","Brazil",2016,16.858622,"Tertiary education","ISCED11A_5T8"
"189","BRA","Brazil",2016,48.828545,"Below upper secondary education","ISCED11A_0T2"
"190","BRA","Brazil",2019,45.144974,"Below upper secondary education","ISCED11A_0T2"
"191","BRA","Brazil",2019,18.71954,"Tertiary education","ISCED11A_5T8"
"192","BRA","Brazil",2019,36.135487,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"193","BRA","Brazil",2020,37.869579,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"194","BRA","Brazil",2020,20.057917,"Tertiary education","ISCED11A_5T8"
"195","BRA","Brazil",2020,42.072502,"Below upper secondary education","ISCED11A_0T2"
"196","BRA","Brazil",2021,41.5784,"Below upper secondary education","ISCED11A_0T2"
"197","BRA","Brazil",2021,20.678915,"Tertiary education","ISCED11A_5T8"
"198","BRA","Brazil",2021,37.742687,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"199","BRA","Brazil",2023,39.88211441,"Below upper secondary education","ISCED11A_0T2"
"200","BRA","Brazil",2023,21.53577805,"Tertiary education","ISCED11A_5T8"
"201","BRA","Brazil",2023,38.58210754,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"202","BRA","Brazil",2022,38.093204,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"203","BRA","Brazil",2022,20.966524,"Tertiary education","ISCED11A_5T8"
"204","BRA","Brazil",2022,40.940269,"Below upper secondary education","ISCED11A_0T2"
"205","CAN","Canada",1998,21.320238,"Below upper secondary education","ISCED11A_0T2"
"206","CAN","Canada",1998,38.258327,"Tertiary education","ISCED11A_5T8"
"207","CAN","Canada",1998,40.421432,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"208","CAN","Canada",1999,40.206757,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"209","CAN","Canada",1999,39.376038,"Tertiary education","ISCED11A_5T8"
"210","CAN","Canada",1999,20.417206,"Below upper secondary education","ISCED11A_0T2"
"211","CAN","Canada",2000,19.332481,"Below upper secondary education","ISCED11A_0T2"
"212","CAN","Canada",2000,40.105782,"Tertiary education","ISCED11A_5T8"
"213","CAN","Canada",2000,40.561737,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"214","CAN","Canada",2001,40.106728,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"215","CAN","Canada",2001,41.881519,"Tertiary education","ISCED11A_5T8"
"216","CAN","Canada",2001,18.011751,"Below upper secondary education","ISCED11A_0T2"
"217","CAN","Canada",2002,17.321903,"Below upper secondary education","ISCED11A_0T2"
"218","CAN","Canada",2002,42.873188,"Tertiary education","ISCED11A_5T8"
"219","CAN","Canada",2002,39.804909,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"220","CAN","Canada",2003,39.608646,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"221","CAN","Canada",2003,44.123833,"Tertiary education","ISCED11A_5T8"
"222","CAN","Canada",2003,16.267523,"Below upper secondary education","ISCED11A_0T2"
"223","CAN","Canada",2004,15.686501,"Below upper secondary education","ISCED11A_0T2"
"224","CAN","Canada",2004,44.548969,"Tertiary education","ISCED11A_5T8"
"225","CAN","Canada",2004,39.76453,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"226","CAN","Canada",2005,39.206749,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"227","CAN","Canada",2005,45.976749,"Tertiary education","ISCED11A_5T8"
"228","CAN","Canada",2005,14.816504,"Below upper secondary education","ISCED11A_0T2"
"229","CAN","Canada",2006,14.457152,"Below upper secondary education","ISCED11A_0T2"
"230","CAN","Canada",2006,46.881516,"Tertiary education","ISCED11A_5T8"
"231","CAN","Canada",2006,38.661331,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"232","CAN","Canada",2007,38.323586,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"233","CAN","Canada",2007,48.181564,"Tertiary education","ISCED11A_5T8"
"234","CAN","Canada",2007,13.494848,"Below upper secondary education","ISCED11A_0T2"
"235","CAN","Canada",2008,13.003522,"Below upper secondary education","ISCED11A_0T2"
"236","CAN","Canada",2008,48.706802,"Tertiary education","ISCED11A_5T8"
"237","CAN","Canada",2008,38.289677,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"238","CAN","Canada",2009,38.241207,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"239","CAN","Canada",2009,49.290722,"Tertiary education","ISCED11A_5T8"
"240","CAN","Canada",2009,12.468069,"Below upper secondary education","ISCED11A_0T2"
"241","CAN","Canada",2010,11.736887,"Below upper secondary education","ISCED11A_0T2"
"242","CAN","Canada",2010,50.311695,"Tertiary education","ISCED11A_5T8"
"243","CAN","Canada",2010,37.95142,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"244","CAN","Canada",2011,37.5986366271973,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"245","CAN","Canada",2011,50.9916839599609,"Tertiary education","ISCED11A_5T8"
"246","CAN","Canada",2011,11.4096822738647,"Below upper secondary education","ISCED11A_0T2"
"247","CAN","Canada",2012,11.1222867965698,"Below upper secondary education","ISCED11A_0T2"
"248","CAN","Canada",2012,52.1757545471191,"Tertiary education","ISCED11A_5T8"
"249","CAN","Canada",2012,36.7019577026367,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"250","CAN","Canada",2013,36.6339225769043,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"251","CAN","Canada",2013,52.8339538574219,"Tertiary education","ISCED11A_5T8"
"252","CAN","Canada",2013,10.5321216583252,"Below upper secondary education","ISCED11A_0T2"
"253","CAN","Canada",2014,10.0913124084473,"Below upper secondary education","ISCED11A_0T2"
"254","CAN","Canada",2014,53.4098625183105,"Tertiary education","ISCED11A_5T8"
"255","CAN","Canada",2014,36.4988250732422,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"256","CAN","Canada",2018,8.43458843231201,"Below upper secondary education","ISCED11A_0T2"
"257","CAN","Canada",2018,57.5587272644043,"Tertiary education","ISCED11A_5T8"
"258","CAN","Canada",2018,34.0066833496094,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"259","CAN","Canada",2017,34.6950263977051,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"260","CAN","Canada",2017,56.3423500061035,"Tertiary education","ISCED11A_5T8"
"261","CAN","Canada",2017,8.96262550354004,"Below upper secondary education","ISCED11A_0T2"
"262","CAN","Canada",2016,9.50025749206543,"Below upper secondary education","ISCED11A_0T2"
"263","CAN","Canada",2016,55.9659957885742,"Tertiary education","ISCED11A_5T8"
"264","CAN","Canada",2016,34.5337448120117,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"265","CAN","Canada",2015,35.3686408996582,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"266","CAN","Canada",2015,54.9792327880859,"Tertiary education","ISCED11A_5T8"
"267","CAN","Canada",2015,9.65212917327881,"Below upper secondary education","ISCED11A_0T2"
"268","CAN","Canada",2024,6.43776845932007,"Below upper secondary education","ISCED11A_0T2"
"269","CAN","Canada",2024,64.6622467041016,"Tertiary education","ISCED11A_5T8"
"270","CAN","Canada",2024,28.8999805450439,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"271","CAN","Canada",2019,32.7667465209961,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"272","CAN","Canada",2019,59.0202560424805,"Tertiary education","ISCED11A_5T8"
"273","CAN","Canada",2019,8.21299648284912,"Below upper secondary education","ISCED11A_0T2"
"274","CAN","Canada",2020,7.5685338973999,"Below upper secondary education","ISCED11A_0T2"
"275","CAN","Canada",2020,59.8430671691895,"Tertiary education","ISCED11A_5T8"
"276","CAN","Canada",2020,32.5883979797363,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"277","CAN","Canada",2021,31.1378135681152,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"278","CAN","Canada",2021,61.9146499633789,"Tertiary education","ISCED11A_5T8"
"279","CAN","Canada",2021,6.94753503799438,"Below upper secondary education","ISCED11A_0T2"
"280","CAN","Canada",2023,30.0551948547363,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"281","CAN","Canada",2023,63.249340057373,"Tertiary education","ISCED11A_5T8"
"282","CAN","Canada",2023,6.69546413421631,"Below upper secondary education","ISCED11A_0T2"
"283","CAN","Canada",2022,6.84280204772949,"Below upper secondary education","ISCED11A_0T2"
"284","CAN","Canada",2022,62.702808380127,"Tertiary education","ISCED11A_5T8"
"285","CAN","Canada",2022,30.4543895721436,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"286","COL","Colombia",2010,25.809668,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"287","COL","Colombia",2011,26.495913,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"288","COL","Colombia",2012,26.829765,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"289","COL","Colombia",2010,16.965132,"Tertiary education","ISCED11A_5T8"
"290","COL","Colombia",2011,17.596003,"Tertiary education","ISCED11A_5T8"
"291","COL","Colombia",2012,18.511864,"Tertiary education","ISCED11A_5T8"
"292","COL","Colombia",2010,57.225201,"Below upper secondary education","ISCED11A_0T2"
"293","COL","Colombia",2011,55.908085,"Below upper secondary education","ISCED11A_0T2"
"294","COL","Colombia",2012,54.658371,"Below upper secondary education","ISCED11A_0T2"
"295","COL","Colombia",2013,20.17317,"Tertiary education","ISCED11A_5T8"
"296","COL","Colombia",2013,27.146582,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"297","COL","Colombia",2013,52.680248,"Below upper secondary education","ISCED11A_0T2"
"298","COL","Colombia",2014,51.236362,"Below upper secondary education","ISCED11A_0T2"
"299","COL","Colombia",2014,27.490496,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"300","COL","Colombia",2014,21.273142,"Tertiary education","ISCED11A_5T8"
"301","COL","Colombia",2018,45.2553978,"Below upper secondary education","ISCED11A_0T2"
"302","COL","Colombia",2018,31.42100143,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"303","COL","Colombia",2018,23.32360077,"Tertiary education","ISCED11A_5T8"
"304","COL","Colombia",2017,22.42420006,"Tertiary education","ISCED11A_5T8"
"305","COL","Colombia",2017,30.89927483,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
"306","COL","Colombia",2017,46.67652512,"Below upper secondary education","ISCED11A_0T2"
"307","COL","Colombia",2016,47.95420837,"Below upper secondary education","ISCED11A_0T2"
"308","COL","Colombia",2016,29.8934021,"Upper secondary or post-secondary non-tertiary education","ISCED11A_3_4"
