"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_PHS","Health_status","HEALTH_STATUS"
"50","AUT","Austria",2007,8.4,"Bad/very bad health","B"
"51","AUT","Austria",2008,8.9,"Bad/very bad health","B"
"52","AUT","Austria",2009,8.7,"Bad/very bad health","B"
"53","AUT","Austria",2010,9.3,"Bad/very bad health","B"
"54","AUT","Austria",2011,9.5,"Bad/very bad health","B"
"55","AUT","Austria",2012,9,"Bad/very bad health","B"
"56","AUT","Austria",2013,9.1,"Bad/very bad health","B"
"57","AUT","Austria",2014,8.9,"Bad/very bad health","B"
"58","AUT","Austria",2015,8.8,"Bad/very bad health","B"
"59","AUT","Austria",2016,8.1,"Bad/very bad health","B"
"60","AUT","Austria",2017,8,"Bad/very bad health","B"
"61","AUT","Austria",2018,8.1,"Bad/very bad health","B"
"62","AUT","Austria",2019,7.8,"Bad/very bad health","B"
"63","AUT","Austria",2020,7.5,"Bad/very bad health","B"
"64","AUT","Austria",2021,7.4,"Bad/very bad health","B"
"65","AUT","Austria",2022,8.5,"Bad/very bad health","B"
"66","AUT","Austria",2023,8.2,"Bad/very bad health","B"
"67","BEL","Belgium",2007,74,"Good/very good health","G"
"68","BEL","Belgium",2008,73.9,"Good/very good health","G"
"69","BEL","Belgium",2009,73.5,"Good/very good health","G"
"70","BEL","Belgium",2010,73,"Good/very good health","G"
"71","BEL","Belgium",2011,73.5,"Good/very good health","G"
"72","BEL","Belgium",2012,74.5,"Good/very good health","G"
"73","BEL","Belgium",2013,74.3,"Good/very good health","G"
"74","BEL","Belgium",2014,75,"Good/very good health","G"
"75","BEL","Belgium",2015,74.6,"Good/very good health","G"
"76","BEL","Belgium",2016,73.9,"Good/very good health","G"
"77","BEL","Belgium",2017,74.5,"Good/very good health","G"
"78","BEL","Belgium",2018,74.9,"Good/very good health","G"
"79","BEL","Belgium",2019,74,"Good/very good health","G"
"80","BEL","Belgium",2020,75.4,"Good/very good health","G"
"81","BEL","Belgium",2021,76.3,"Good/very good health","G"
"82","BEL","Belgium",2022,75.3,"Good/very good health","G"
"83","BEL","Belgium",2023,75.4,"Good/very good health","G"
"84","BEL","Belgium",2007,17.7,"Fair (not good, not bad) health","F"
"85","BEL","Belgium",2008,17.9,"Fair (not good, not bad) health","F"
"86","BEL","Belgium",2009,17.8,"Fair (not good, not bad) health","F"
"87","BEL","Belgium",2010,17.9,"Fair (not good, not bad) health","F"
"88","BEL","Belgium",2011,16.9,"Fair (not good, not bad) health","F"
"89","BEL","Belgium",2012,16.7,"Fair (not good, not bad) health","F"
"90","BEL","Belgium",2013,17.1,"Fair (not good, not bad) health","F"
"91","BEL","Belgium",2014,15.8,"Fair (not good, not bad) health","F"
"92","BEL","Belgium",2015,16,"Fair (not good, not bad) health","F"
"93","BEL","Belgium",2016,17,"Fair (not good, not bad) health","F"
"94","BEL","Belgium",2017,16.9,"Fair (not good, not bad) health","F"
"95","BEL","Belgium",2018,16.4,"Fair (not good, not bad) health","F"
"96","BEL","Belgium",2019,16.9,"Fair (not good, not bad) health","F"
"97","BEL","Belgium",2020,16.8,"Fair (not good, not bad) health","F"
"98","BEL","Belgium",2021,15.7,"Fair (not good, not bad) health","F"
"99","BEL","Belgium",2022,16.7,"Fair (not good, not bad) health","F"
"100","BEL","Belgium",2023,16.1,"Fair (not good, not bad) health","F"
"101","BEL","Belgium",2007,8.3,"Bad/very bad health","B"
"102","BEL","Belgium",2008,8.2,"Bad/very bad health","B"
"103","BEL","Belgium",2009,8.7,"Bad/very bad health","B"
"104","BEL","Belgium",2010,9.1,"Bad/very bad health","B"
"105","BEL","Belgium",2011,9.6,"Bad/very bad health","B"
"106","BEL","Belgium",2012,8.8,"Bad/very bad health","B"
"107","BEL","Belgium",2013,8.6,"Bad/very bad health","B"
"108","BEL","Belgium",2014,9.2,"Bad/very bad health","B"
"109","BEL","Belgium",2015,9.4,"Bad/very bad health","B"
"110","BEL","Belgium",2016,9.2,"Bad/very bad health","B"
"111","BEL","Belgium",2017,8.6,"Bad/very bad health","B"
"112","BEL","Belgium",2018,8.7,"Bad/very bad health","B"
"113","BEL","Belgium",2019,9.1,"Bad/very bad health","B"
"114","BEL","Belgium",2020,7.8,"Bad/very bad health","B"
"115","BEL","Belgium",2021,8,"Bad/very bad health","B"
"116","BEL","Belgium",2022,8,"Bad/very bad health","B"
"117","BEL","Belgium",2023,8.4,"Bad/very bad health","B"
"118","BGR","Bulgaria",2008,62.2,"Good/very good health","G"
"119","BGR","Bulgaria",2009,65.2,"Good/very good health","G"
"120","BGR","Bulgaria",2010,67.1,"Good/very good health","G"
"121","BGR","Bulgaria",2011,67.1,"Good/very good health","G"
"122","BGR","Bulgaria",2012,66.6,"Good/very good health","G"
"123","BGR","Bulgaria",2013,66.3,"Good/very good health","G"
"124","BGR","Bulgaria",2014,65.7,"Good/very good health","G"
"125","BGR","Bulgaria",2015,65.4,"Good/very good health","G"
"126","BGR","Bulgaria",2016,65.7,"Good/very good health","G"
"127","BGR","Bulgaria",2017,66.5,"Good/very good health","G"
"128","BGR","Bulgaria",2018,66.3,"Good/very good health","G"
"129","BGR","Bulgaria",2019,67.1,"Good/very good health","G"
"130","BGR","Bulgaria",2020,66.6,"Good/very good health","G"
"131","BGR","Bulgaria",2021,67.5,"Good/very good health","G"
"132","BGR","Bulgaria",2022,68.1,"Good/very good health","G"
"133","BGR","Bulgaria",2023,65.1,"Good/very good health","G"
"134","BGR","Bulgaria",2008,23.9,"Fair (not good, not bad) health","F"
"135","BGR","Bulgaria",2009,21.8,"Fair (not good, not bad) health","F"
"136","BGR","Bulgaria",2010,20.6,"Fair (not good, not bad) health","F"
"137","BGR","Bulgaria",2011,21.1,"Fair (not good, not bad) health","F"
"138","BGR","Bulgaria",2012,21.5,"Fair (not good, not bad) health","F"
"139","BGR","Bulgaria",2013,22.2,"Fair (not good, not bad) health","F"
"140","BGR","Bulgaria",2014,22.1,"Fair (not good, not bad) health","F"
"141","BGR","Bulgaria",2015,22.4,"Fair (not good, not bad) health","F"
"142","BGR","Bulgaria",2016,23.2,"Fair (not good, not bad) health","F"
"143","BGR","Bulgaria",2017,22.4,"Fair (not good, not bad) health","F"
"144","BGR","Bulgaria",2018,23,"Fair (not good, not bad) health","F"
"145","BGR","Bulgaria",2019,23.6,"Fair (not good, not bad) health","F"
"146","BGR","Bulgaria",2020,24.2,"Fair (not good, not bad) health","F"
"147","BGR","Bulgaria",2021,23.8,"Fair (not good, not bad) health","F"
"148","BGR","Bulgaria",2022,24.5,"Fair (not good, not bad) health","F"
"149","BGR","Bulgaria",2023,26.5,"Fair (not good, not bad) health","F"
"150","BGR","Bulgaria",2008,13.9,"Bad/very bad health","B"
"151","BGR","Bulgaria",2009,13,"Bad/very bad health","B"
"152","BGR","Bulgaria",2010,12.3,"Bad/very bad health","B"
"153","BGR","Bulgaria",2011,11.9,"Bad/very bad health","B"
"154","BGR","Bulgaria",2012,11.9,"Bad/very bad health","B"
"155","BGR","Bulgaria",2013,11.6,"Bad/very bad health","B"
"156","BGR","Bulgaria",2014,12.1,"Bad/very bad health","B"
"157","BGR","Bulgaria",2015,12.3,"Bad/very bad health","B"
"158","BGR","Bulgaria",2016,11.1,"Bad/very bad health","B"
"159","BGR","Bulgaria",2017,11,"Bad/very bad health","B"
"160","BGR","Bulgaria",2018,10.8,"Bad/very bad health","B"
"161","BGR","Bulgaria",2019,9.3,"Bad/very bad health","B"
"162","BGR","Bulgaria",2020,9.2,"Bad/very bad health","B"
"163","BGR","Bulgaria",2021,8.7,"Bad/very bad health","B"
"164","BGR","Bulgaria",2022,7.4,"Bad/very bad health","B"
"165","BGR","Bulgaria",2023,8.4,"Bad/very bad health","B"
"166","CAN","Canada",2015,8,"Fair (not good, not bad) health","F"
"167","CAN","Canada",2015,3.1,"Bad/very bad health","B"
"168","CAN","Canada",2023,11.2,"Fair (not good, not bad) health","F"
"169","CAN","Canada",2023,3.2,"Bad/very bad health","B"
"170","CAN","Canada",2007,8.8,"Fair (not good, not bad) health","F"
"171","CAN","Canada",2007,2.9,"Bad/very bad health","B"
"172","CAN","Canada",2008,3.1,"Bad/very bad health","B"
"173","CAN","Canada",2008,8.7,"Fair (not good, not bad) health","F"
"174","CAN","Canada",2009,2.5,"Bad/very bad health","B"
"175","CAN","Canada",2009,8.8,"Fair (not good, not bad) health","F"
"176","CAN","Canada",2010,2.9,"Bad/very bad health","B"
"177","CAN","Canada",2010,9,"Fair (not good, not bad) health","F"
"178","CAN","Canada",2011,9,"Fair (not good, not bad) health","F"
"179","CAN","Canada",2011,2.8,"Bad/very bad health","B"
"180","CAN","Canada",2012,2.7,"Bad/very bad health","B"
"181","CAN","Canada",2012,8.5,"Fair (not good, not bad) health","F"
"182","CAN","Canada",2013,8.5,"Fair (not good, not bad) health","F"
"183","CAN","Canada",2013,2.8,"Bad/very bad health","B"
"184","CAN","Canada",2014,3.1,"Bad/very bad health","B"
"185","CAN","Canada",2014,8.8,"Fair (not good, not bad) health","F"
"186","CAN","Canada",2016,3.1,"Bad/very bad health","B"
"187","CAN","Canada",2016,8.5,"Fair (not good, not bad) health","F"
"188","CAN","Canada",2017,8.3,"Fair (not good, not bad) health","F"
"189","CAN","Canada",2017,3.2,"Bad/very bad health","B"
"190","CAN","Canada",2018,2.9,"Bad/very bad health","B"
"191","CAN","Canada",2018,8.5,"Fair (not good, not bad) health","F"
"192","CAN","Canada",2019,8.3,"Fair (not good, not bad) health","F"
"193","CAN","Canada",2019,2.8,"Bad/very bad health","B"
"194","CAN","Canada",2020,2.8,"Bad/very bad health","B"
"195","CAN","Canada",2020,8.2,"Fair (not good, not bad) health","F"
"196","CAN","Canada",2021,8.9,"Fair (not good, not bad) health","F"
"197","CAN","Canada",2021,2.8,"Bad/very bad health","B"
"198","CAN","Canada",2022,3.6,"Bad/very bad health","B"
"199","CAN","Canada",2022,10.6,"Fair (not good, not bad) health","F"
"200","CAN","Canada",2015,89,"Good/very good health","G"
"201","CAN","Canada",2023,85.6,"Good/very good health","G"
"202","CAN","Canada",2007,88.2,"Good/very good health","G"
"203","CAN","Canada",2008,88.1,"Good/very good health","G"
"204","CAN","Canada",2009,88.5,"Good/very good health","G"
"205","CAN","Canada",2010,88.1,"Good/very good health","G"
"206","CAN","Canada",2011,88.2,"Good/very good health","G"
"207","CAN","Canada",2012,88.8,"Good/very good health","G"
"208","CAN","Canada",2013,88.7,"Good/very good health","G"
"209","CAN","Canada",2014,88.1,"Good/very good health","G"
"210","CAN","Canada",2016,88.4,"Good/very good health","G"
"211","CAN","Canada",2017,88.5,"Good/very good health","G"
"212","CAN","Canada",2018,88.6,"Good/very good health","G"
"213","CAN","Canada",2019,88.8,"Good/very good health","G"
"214","CAN","Canada",2020,89,"Good/very good health","G"
"215","CAN","Canada",2021,88.3,"Good/very good health","G"
"216","CAN","Canada",2022,85.8,"Good/very good health","G"
"217","CHL","Chile",2020,50.5,"Good/very good health","G"
"218","CHL","Chile",2009,6.2,"Bad/very bad health","B"
"219","CHL","Chile",2009,34.6,"Fair (not good, not bad) health","F"
"220","CHL","Chile",2013,29.9,"Fair (not good, not bad) health","F"
"221","CHL","Chile",2013,5.6,"Bad/very bad health","B"
"222","CHL","Chile",2015,7.3,"Bad/very bad health","B"
"223","CHL","Chile",2015,35.4,"Fair (not good, not bad) health","F"
"224","CHL","Chile",2017,33.7,"Fair (not good, not bad) health","F"
"225","CHL","Chile",2017,6.6,"Bad/very bad health","B"
"226","CHL","Chile",2021,6.8,"Bad/very bad health","B"
"227","CHL","Chile",2021,42.7,"Fair (not good, not bad) health","F"
"228","CHL","Chile",2009,59.1,"Good/very good health","G"
"229","CHL","Chile",2013,64.5,"Good/very good health","G"
"230","CHL","Chile",2021,50.5,"Good/very good health","G"
"231","CHL","Chile",2015,57.4,"Good/very good health","G"
"232","CHL","Chile",2017,59.7,"Good/very good health","G"
"233","COL","Colombia",2018,80.6,"Good/very good health","G"
"234","COL","Colombia",2019,80.4,"Good/very good health","G"
"235","COL","Colombia",2018,18.2,"Fair (not good, not bad) health","F"
"236","COL","Colombia",2019,18.3,"Fair (not good, not bad) health","F"
"237","COL","Colombia",2018,1.3,"Bad/very bad health","B"
"238","COL","Colombia",2019,1.3,"Bad/very bad health","B"
"239","CRI","Costa Rica",2018,3.4,"Bad/very bad health","B"
"240","CRI","Costa Rica",2018,23.7,"Fair (not good, not bad) health","F"
"241","CRI","Costa Rica",2018,70,"Good/very good health","G"
"242","HRV","Croatia",2010,48.1,"Good/very good health","G"
"243","HRV","Croatia",2011,46.6,"Good/very good health","G"
"244","HRV","Croatia",2012,46.7,"Good/very good health","G"
"245","HRV","Croatia",2013,46.5,"Good/very good health","G"
"246","HRV","Croatia",2014,57.9,"Good/very good health","G"
"247","HRV","Croatia",2015,58.1,"Good/very good health","G"
"248","HRV","Croatia",2016,58.8,"Good/very good health","G"
"249","HRV","Croatia",2017,60.5,"Good/very good health","G"
"250","HRV","Croatia",2018,60.5,"Good/very good health","G"
"251","HRV","Croatia",2019,60.3,"Good/very good health","G"
"252","HRV","Croatia",2020,63.4,"Good/very good health","G"
"253","HRV","Croatia",2021,62.6,"Good/very good health","G"
"254","HRV","Croatia",2022,63.1,"Good/very good health","G"
"255","HRV","Croatia",2023,64.9,"Good/very good health","G"
"256","HRV","Croatia",2010,25.1,"Fair (not good, not bad) health","F"
"257","HRV","Croatia",2011,26.9,"Fair (not good, not bad) health","F"
"258","HRV","Croatia",2012,27.1,"Fair (not good, not bad) health","F"
"259","HRV","Croatia",2013,28.2,"Fair (not good, not bad) health","F"
"260","HRV","Croatia",2014,22.1,"Fair (not good, not bad) health","F"
"261","HRV","Croatia",2015,22,"Fair (not good, not bad) health","F"
"262","HRV","Croatia",2016,22.3,"Fair (not good, not bad) health","F"
"263","HRV","Croatia",2017,21,"Fair (not good, not bad) health","F"
"264","HRV","Croatia",2018,22.2,"Fair (not good, not bad) health","F"
"265","HRV","Croatia",2019,22.8,"Fair (not good, not bad) health","F"
"266","HRV","Croatia",2020,21.5,"Fair (not good, not bad) health","F"
"267","HRV","Croatia",2021,23.3,"Fair (not good, not bad) health","F"
"268","HRV","Croatia",2022,22.9,"Fair (not good, not bad) health","F"
"269","HRV","Croatia",2023,21.9,"Fair (not good, not bad) health","F"
"270","HRV","Croatia",2010,26.9,"Bad/very bad health","B"
"271","HRV","Croatia",2011,26.6,"Bad/very bad health","B"
"272","HRV","Croatia",2012,26.2,"Bad/very bad health","B"
"273","HRV","Croatia",2013,25.3,"Bad/very bad health","B"
"274","HRV","Croatia",2014,20,"Bad/very bad health","B"
"275","HRV","Croatia",2015,19.9,"Bad/very bad health","B"
"276","HRV","Croatia",2016,18.8,"Bad/very bad health","B"
"277","HRV","Croatia",2017,18.4,"Bad/very bad health","B"
"278","HRV","Croatia",2018,17.2,"Bad/very bad health","B"
"279","HRV","Croatia",2019,16.9,"Bad/very bad health","B"
"280","HRV","Croatia",2020,15,"Bad/very bad health","B"
"281","HRV","Croatia",2021,14.1,"Bad/very bad health","B"
"282","HRV","Croatia",2022,14.1,"Bad/very bad health","B"
"283","HRV","Croatia",2023,13.2,"Bad/very bad health","B"
"284","CZE","Czechia",2007,61.2,"Good/very good health","G"
"285","CZE","Czechia",2008,61.4,"Good/very good health","G"
"286","CZE","Czechia",2009,61.3,"Good/very good health","G"
"287","CZE","Czechia",2010,62.2,"Good/very good health","G"
"288","CZE","Czechia",2011,59.4,"Good/very good health","G"
"289","CZE","Czechia",2012,60.4,"Good/very good health","G"
"290","CZE","Czechia",2013,59.6,"Good/very good health","G"
"291","CZE","Czechia",2014,60.6,"Good/very good health","G"
"292","CZE","Czechia",2015,61.2,"Good/very good health","G"
"293","CZE","Czechia",2016,60.3,"Good/very good health","G"
"294","CZE","Czechia",2017,61.8,"Good/very good health","G"
"295","CZE","Czechia",2018,62,"Good/very good health","G"
"296","CZE","Czechia",2019,61.9,"Good/very good health","G"
"297","CZE","Czechia",2020,63.4,"Good/very good health","G"
"298","CZE","Czechia",2021,67.7,"Good/very good health","G"
"299","CZE","Czechia",2022,67.9,"Good/very good health","G"
"300","CZE","Czechia",2023,66.4,"Good/very good health","G"
"301","CZE","Czechia",2007,26.4,"Fair (not good, not bad) health","F"
"302","CZE","Czechia",2008,25.6,"Fair (not good, not bad) health","F"
"303","CZE","Czechia",2009,26.1,"Fair (not good, not bad) health","F"
"304","CZE","Czechia",2010,25.6,"Fair (not good, not bad) health","F"
"305","CZE","Czechia",2011,28,"Fair (not good, not bad) health","F"
"306","CZE","Czechia",2012,26.8,"Fair (not good, not bad) health","F"
"307","CZE","Czechia",2013,27.6,"Fair (not good, not bad) health","F"
"308","CZE","Czechia",2014,27.7,"Fair (not good, not bad) health","F"
"309","CZE","Czechia",2015,27.7,"Fair (not good, not bad) health","F"
"310","CZE","Czechia",2016,27.9,"Fair (not good, not bad) health","F"
"311","CZE","Czechia",2017,27.1,"Fair (not good, not bad) health","F"
"312","CZE","Czechia",2018,27.3,"Fair (not good, not bad) health","F"
"313","CZE","Czechia",2019,27.8,"Fair (not good, not bad) health","F"
"314","CZE","Czechia",2020,27.3,"Fair (not good, not bad) health","F"
"315","CZE","Czechia",2021,23.7,"Fair (not good, not bad) health","F"
"316","CZE","Czechia",2022,23.4,"Fair (not good, not bad) health","F"
"317","CZE","Czechia",2023,24.4,"Fair (not good, not bad) health","F"
"318","CZE","Czechia",2007,12.4,"Bad/very bad health","B"
"319","CZE","Czechia",2008,13,"Bad/very bad health","B"
"320","CZE","Czechia",2009,12.7,"Bad/very bad health","B"
"321","CZE","Czechia",2010,12.2,"Bad/very bad health","B"
"322","CZE","Czechia",2011,12.6,"Bad/very bad health","B"
"323","CZE","Czechia",2012,12.8,"Bad/very bad health","B"
"324","CZE","Czechia",2013,12.8,"Bad/very bad health","B"
"325","CZE","Czechia",2014,11.6,"Bad/very bad health","B"
"326","CZE","Czechia",2015,11.1,"Bad/very bad health","B"
"327","CZE","Czechia",2016,11.8,"Bad/very bad health","B"
"328","CZE","Czechia",2017,11.1,"Bad/very bad health","B"
"329","CZE","Czechia",2018,10.7,"Bad/very bad health","B"
"330","CZE","Czechia",2019,10.4,"Bad/very bad health","B"
"331","CZE","Czechia",2020,9.3,"Bad/very bad health","B"
"332","CZE","Czechia",2021,8.6,"Bad/very bad health","B"
"333","CZE","Czechia",2022,8.8,"Bad/very bad health","B"
"334","CZE","Czechia",2023,9.2,"Bad/very bad health","B"
"335","DNK","Denmark",2007,75.3,"Good/very good health","G"
"336","DNK","Denmark",2008,74.2,"Good/very good health","G"
"337","DNK","Denmark",2009,72.3,"Good/very good health","G"
"338","DNK","Denmark",2010,71,"Good/very good health","G"
"339","DNK","Denmark",2011,71.7,"Good/very good health","G"
"340","DNK","Denmark",2012,71,"Good/very good health","G"
"341","DNK","Denmark",2013,72.5,"Good/very good health","G"
"342","DNK","Denmark",2014,72.4,"Good/very good health","G"
"343","DNK","Denmark",2015,71.6,"Good/very good health","G"
"344","DNK","Denmark",2016,71.3,"Good/very good health","G"
"345","DNK","Denmark",2017,71.2,"Good/very good health","G"
"346","DNK","Denmark",2018,71.1,"Good/very good health","G"
"347","DNK","Denmark",2019,69.6,"Good/very good health","G"
"348","DNK","Denmark",2020,71.2,"Good/very good health","G"
"349","DNK","Denmark",2021,68.6,"Good/very good health","G"
"350","DNK","Denmark",2022,64.8,"Good/very good health","G"
"351","DNK","Denmark",2023,64.4,"Good/very good health","G"
"352","DNK","Denmark",2007,16.8,"Fair (not good, not bad) health","F"
"353","DNK","Denmark",2008,18.6,"Fair (not good, not bad) health","F"
"354","DNK","Denmark",2009,20.3,"Fair (not good, not bad) health","F"
"355","DNK","Denmark",2010,21.1,"Fair (not good, not bad) health","F"
"356","DNK","Denmark",2011,20.4,"Fair (not good, not bad) health","F"
"357","DNK","Denmark",2012,21.4,"Fair (not good, not bad) health","F"
"358","DNK","Denmark",2013,20.4,"Fair (not good, not bad) health","F"
"359","DNK","Denmark",2014,20.2,"Fair (not good, not bad) health","F"
"360","DNK","Denmark",2015,20.8,"Fair (not good, not bad) health","F"
"361","DNK","Denmark",2016,21.1,"Fair (not good, not bad) health","F"
"362","DNK","Denmark",2017,21,"Fair (not good, not bad) health","F"
"363","DNK","Denmark",2018,21.4,"Fair (not good, not bad) health","F"
"364","DNK","Denmark",2019,22.1,"Fair (not good, not bad) health","F"
"365","DNK","Denmark",2020,21.3,"Fair (not good, not bad) health","F"
"366","DNK","Denmark",2021,23.8,"Fair (not good, not bad) health","F"
"367","DNK","Denmark",2022,27.2,"Fair (not good, not bad) health","F"
"368","DNK","Denmark",2023,26,"Fair (not good, not bad) health","F"
"369","DNK","Denmark",2007,7.9,"Bad/very bad health","B"
"370","DNK","Denmark",2008,7.2,"Bad/very bad health","B"
"371","DNK","Denmark",2009,7.4,"Bad/very bad health","B"
"372","DNK","Denmark",2010,7.9,"Bad/very bad health","B"
"373","DNK","Denmark",2011,7.9,"Bad/very bad health","B"
"374","DNK","Denmark",2012,7.6,"Bad/very bad health","B"
"375","DNK","Denmark",2013,7.1,"Bad/very bad health","B"
"376","DNK","Denmark",2014,7.4,"Bad/very bad health","B"
"377","DNK","Denmark",2015,7.6,"Bad/very bad health","B"
"378","DNK","Denmark",2016,7.6,"Bad/very bad health","B"
"379","DNK","Denmark",2017,7.9,"Bad/very bad health","B"
"380","DNK","Denmark",2018,7.5,"Bad/very bad health","B"
"381","DNK","Denmark",2019,8.3,"Bad/very bad health","B"
"382","DNK","Denmark",2020,7.5,"Bad/very bad health","B"
"383","DNK","Denmark",2021,7.7,"Bad/very bad health","B"
"384","DNK","Denmark",2022,8,"Bad/very bad health","B"
"385","DNK","Denmark",2023,9.6,"Bad/very bad health","B"
"386","EST","Estonia",2007,53.3,"Good/very good health","G"
"387","EST","Estonia",2008,54.5,"Good/very good health","G"
"388","EST","Estonia",2009,51.5,"Good/very good health","G"
"389","EST","Estonia",2010,52.7,"Good/very good health","G"
"390","EST","Estonia",2011,51.8,"Good/very good health","G"
"391","EST","Estonia",2012,52.4,"Good/very good health","G"
"392","EST","Estonia",2013,53.4,"Good/very good health","G"
"393","EST","Estonia",2014,51.8,"Good/very good health","G"
"394","EST","Estonia",2015,51.4,"Good/very good health","G"
"395","EST","Estonia",2016,52.8,"Good/very good health","G"
"396","EST","Estonia",2017,52.5,"Good/very good health","G"
"397","EST","Estonia",2018,51.6,"Good/very good health","G"
"398","EST","Estonia",2019,56.5,"Good/very good health","G"
"399","EST","Estonia",2020,58.4,"Good/very good health","G"
"400","EST","Estonia",2021,58.2,"Good/very good health","G"
"401","EST","Estonia",2022,57.7,"Good/very good health","G"
"402","EST","Estonia",2023,56.2,"Good/very good health","G"
"403","EST","Estonia",2007,32,"Fair (not good, not bad) health","F"
"404","EST","Estonia",2008,30.7,"Fair (not good, not bad) health","F"
"405","EST","Estonia",2009,34.3,"Fair (not good, not bad) health","F"
"406","EST","Estonia",2010,32.4,"Fair (not good, not bad) health","F"
"407","EST","Estonia",2011,32,"Fair (not good, not bad) health","F"
"408","EST","Estonia",2012,31.4,"Fair (not good, not bad) health","F"
"409","EST","Estonia",2013,30.9,"Fair (not good, not bad) health","F"
"410","EST","Estonia",2014,31.7,"Fair (not good, not bad) health","F"
"411","EST","Estonia",2015,32.8,"Fair (not good, not bad) health","F"
"412","EST","Estonia",2016,32.8,"Fair (not good, not bad) health","F"
"413","EST","Estonia",2017,32.9,"Fair (not good, not bad) health","F"
"414","EST","Estonia",2018,33.7,"Fair (not good, not bad) health","F"
"415","EST","Estonia",2019,30.2,"Fair (not good, not bad) health","F"
"416","EST","Estonia",2020,30.2,"Fair (not good, not bad) health","F"
"417","EST","Estonia",2021,29.7,"Fair (not good, not bad) health","F"
"418","EST","Estonia",2022,29.3,"Fair (not good, not bad) health","F"
"419","EST","Estonia",2023,30.4,"Fair (not good, not bad) health","F"
"420","EST","Estonia",2007,14.8,"Bad/very bad health","B"
"421","EST","Estonia",2008,14.8,"Bad/very bad health","B"
"422","EST","Estonia",2009,14.1,"Bad/very bad health","B"
"423","EST","Estonia",2010,14.9,"Bad/very bad health","B"
"424","EST","Estonia",2011,16.3,"Bad/very bad health","B"
"425","EST","Estonia",2012,16.3,"Bad/very bad health","B"
"426","EST","Estonia",2013,15.6,"Bad/very bad health","B"
"427","EST","Estonia",2014,16.5,"Bad/very bad health","B"
"428","EST","Estonia",2015,15.7,"Bad/very bad health","B"
"429","EST","Estonia",2016,14.4,"Bad/very bad health","B"
"430","EST","Estonia",2017,14.6,"Bad/very bad health","B"
