"","REF_AREA","Reference_area","TIME_PERIOD","OBS_VALUE_SAT","Measure_sat","MEASURE_SAT"
"43","COL","Colombia",2022,7.92084445,"Life satisfaction","11_1"
"44","COL","Colombia",2021,8.0079579,"Life satisfaction","11_1"
"45","COL","Colombia",2020,7.9961009,"Life satisfaction","11_1"
"46","COL","Colombia",2019,8.1553547477,"Life satisfaction","11_1"
"47","COL","Colombia",2018,8.2624974606,"Life satisfaction","11_1"
"48","HRV","Croatia",2023,7.0766311138,"Life satisfaction","11_1"
"49","HRV","Croatia",2022,6.8477479647,"Life satisfaction","11_1"
"50","HRV","Croatia",2021,6.8190810972,"Life satisfaction","11_1"
"51","HRV","Croatia",2018,6.3394277925,"Life satisfaction","11_1"
"52","HRV","Croatia",2013,6.3404621507,"Life satisfaction","11_1"
"53","HRV","Croatia",2022,7.1837919651,"Satisfaction with personal relationships","7_3"
"54","HRV","Croatia",2018,7.4785716748,"Satisfaction with personal relationships","7_3"
"55","HRV","Croatia",2013,7.2909867536,"Satisfaction with personal relationships","7_3"
"56","CZE","Czechia",2023,7.3781102847,"Life satisfaction","11_1"
"57","CZE","Czechia",2022,7.3848566569,"Life satisfaction","11_1"
"58","CZE","Czechia",2021,7.2652421866,"Life satisfaction","11_1"
"59","CZE","Czechia",2018,7.3519776594,"Life satisfaction","11_1"
"60","CZE","Czechia",2013,6.8799199806,"Life satisfaction","11_1"
"61","CZE","Czechia",2022,8.1676965701,"Satisfaction with personal relationships","7_3"
"62","CZE","Czechia",2018,8.3111850232,"Satisfaction with personal relationships","7_3"
"63","CZE","Czechia",2013,8.0833653379,"Satisfaction with personal relationships","7_3"
"64","DNK","Denmark",2023,7.5001238652,"Life satisfaction","11_1"
"65","DNK","Denmark",2021,7.4624077931,"Life satisfaction","11_1"
"66","DNK","Denmark",2018,7.7611020393,"Life satisfaction","11_1"
"67","DNK","Denmark",2013,8.0107682102,"Life satisfaction","11_1"
"68","DNK","Denmark",2022,8.1054230453,"Satisfaction with personal relationships","7_3"
"69","DNK","Denmark",2018,8.2449313597,"Satisfaction with personal relationships","7_3"
"70","DNK","Denmark",2013,8.4957074944,"Satisfaction with personal relationships","7_3"
"71","DNK","Denmark",2022,7.627750116,"Life satisfaction","11_1"
"72","EST","Estonia",2022,7.1565139309,"Life satisfaction","11_1"
"73","EST","Estonia",2021,7.2091264348,"Life satisfaction","11_1"
"74","EST","Estonia",2018,7.0057674818,"Life satisfaction","11_1"
"75","EST","Estonia",2013,6.4551335228,"Life satisfaction","11_1"
"76","EST","Estonia",2022,7.9383456992,"Satisfaction with personal relationships","7_3"
"77","EST","Estonia",2018,7.8934431441,"Satisfaction with personal relationships","7_3"
"78","EST","Estonia",2013,7.6230506218,"Satisfaction with personal relationships","7_3"
"79","EST","Estonia",2023,7.1705450094,"Life satisfaction","11_1"
"80","FIN","Finland",2023,7.7212423365,"Life satisfaction","11_1"
"81","FIN","Finland",2022,7.8719903962,"Life satisfaction","11_1"
"82","FIN","Finland",2021,8.0447047955,"Life satisfaction","11_1"
"83","FIN","Finland",2018,8.1068445452,"Life satisfaction","11_1"
"84","FIN","Finland",2013,8.0458559898,"Life satisfaction","11_1"
"85","FIN","Finland",2022,8.1587425162,"Satisfaction with personal relationships","7_3"
"86","FIN","Finland",2018,8.3926267429,"Satisfaction with personal relationships","7_3"
"87","FIN","Finland",2013,8.3019897488,"Satisfaction with personal relationships","7_3"
"88","FRA","France",2022,7.6945949667,"Satisfaction with personal relationships","7_3"
"89","FRA","France",2018,7.9411174572,"Satisfaction with personal relationships","7_3"
"90","FRA","France",2013,7.8397553037,"Satisfaction with personal relationships","7_3"
"91","FRA","France",2013,7.0531889489,"Life satisfaction","11_1"
"92","FRA","France",2023,7.1474378325,"Life satisfaction","11_1"
"93","FRA","France",2022,6.9669646335,"Life satisfaction","11_1"
"94","FRA","France",2021,6.7923429215,"Life satisfaction","11_1"
"95","FRA","France",2018,7.2543883858,"Life satisfaction","11_1"
"96","DEU","Germany",2022,6.522345927,"Life satisfaction","11_1"
"97","DEU","Germany",2023,6.9830359924,"Life satisfaction","11_1"
"98","DEU","Germany",2018,7.3581298635,"Life satisfaction","11_1"
"99","DEU","Germany",2013,7.2543085296,"Life satisfaction","11_1"
"100","DEU","Germany",2018,7.8822743766,"Satisfaction with personal relationships","7_3"
"101","DEU","Germany",2013,7.8063275118,"Satisfaction with personal relationships","7_3"
"102","DEU","Germany",2022,8.014299255,"Satisfaction with personal relationships","7_3"
"103","DEU","Germany",2021,7.1525208525,"Life satisfaction","11_1"
"104","GRC","Greece",2013,6.1600323929,"Life satisfaction","11_1"
"105","GRC","Greece",2022,7.2637586877,"Satisfaction with personal relationships","7_3"
"106","GRC","Greece",2018,7.0797476746,"Satisfaction with personal relationships","7_3"
"107","GRC","Greece",2013,7.0109989499,"Satisfaction with personal relationships","7_3"
"108","GRC","Greece",2023,6.8624746368,"Life satisfaction","11_1"
"109","GRC","Greece",2022,6.7307896823,"Life satisfaction","11_1"
"110","GRC","Greece",2021,6.7659425326,"Life satisfaction","11_1"
"111","GRC","Greece",2018,6.4376863334,"Life satisfaction","11_1"
"112","HUN","Hungary",2023,7.2,"Life satisfaction","11_1"
"113","HUN","Hungary",2022,6.8524802497,"Life satisfaction","11_1"
"114","HUN","Hungary",2021,6.5474589692,"Life satisfaction","11_1"
"115","HUN","Hungary",2018,6.5062717839,"Life satisfaction","11_1"
"116","HUN","Hungary",2013,6.1127915586,"Life satisfaction","11_1"
"117","HUN","Hungary",2022,7.6121984855,"Satisfaction with personal relationships","7_3"
"118","HUN","Hungary",2018,7.5793112238,"Satisfaction with personal relationships","7_3"
"119","HUN","Hungary",2013,7.5913142438,"Satisfaction with personal relationships","7_3"
"120","ISL","Iceland",2018,8.1335416331,"Life satisfaction","11_1"
"121","ISL","Iceland",2013,7.9489247249,"Life satisfaction","11_1"
"122","ISL","Iceland",2018,8.1680162154,"Satisfaction with personal relationships","7_3"
"123","ISL","Iceland",2013,8.1355370597,"Satisfaction with personal relationships","7_3"
"124","IRL","Ireland",2023,7.5939619106,"Life satisfaction","11_1"
"125","IRL","Ireland",2022,7.4475959273,"Life satisfaction","11_1"
"126","IRL","Ireland",2021,7.2502842847,"Life satisfaction","11_1"
"127","IRL","Ireland",2018,8.0681087113,"Life satisfaction","11_1"
"128","IRL","Ireland",2013,7.4395113484,"Life satisfaction","11_1"
"129","IRL","Ireland",2022,8.2856001695,"Satisfaction with personal relationships","7_3"
"130","IRL","Ireland",2018,8.5988729597,"Satisfaction with personal relationships","7_3"
"131","IRL","Ireland",2013,8.6169890356,"Satisfaction with personal relationships","7_3"
"132","ISR","Israel",2021,8.029399,"Life satisfaction","11_1"
"133","ISR","Israel",2021,8.345531,"Satisfaction with personal relationships","7_3"
"134","ITA","Italy",2023,7.2266878923,"Life satisfaction","11_1"
"135","ITA","Italy",2021,7.1742196143,"Life satisfaction","11_1"
"136","ITA","Italy",2018,7.0245963012,"Life satisfaction","11_1"
"137","ITA","Italy",2013,6.5883967089,"Life satisfaction","11_1"
"138","ITA","Italy",2022,7.2607245757,"Satisfaction with personal relationships","7_3"
"139","ITA","Italy",2018,7.5090242425,"Satisfaction with personal relationships","7_3"
"140","ITA","Italy",2013,7.3038894508,"Satisfaction with personal relationships","7_3"
"141","ITA","Italy",2022,7.173981706,"Life satisfaction","11_1"
"142","JPN","Japan",2023,5.79,"Life satisfaction","11_1"
"143","JPN","Japan",2022,5.76,"Life satisfaction","11_1"
"144","JPN","Japan",2021,5.74,"Life satisfaction","11_1"
"145","JPN","Japan",2020,5.83,"Life satisfaction","11_1"
"146","JPN","Japan",2019,5.78,"Life satisfaction","11_1"
"147","KOR","Korea",2019,6,"Life satisfaction","11_1"
"148","KOR","Korea",2018,6.1,"Life satisfaction","11_1"
"149","KOR","Korea",2017,6,"Life satisfaction","11_1"
"150","KOR","Korea",2016,5.9,"Life satisfaction","11_1"
"151","KOR","Korea",2015,5.8,"Life satisfaction","11_1"
"152","KOR","Korea",2014,5.7,"Life satisfaction","11_1"
"153","KOR","Korea",2013,5.7,"Life satisfaction","11_1"
"154","KOR","Korea",2022,6.5,"Life satisfaction","11_1"
"155","KOR","Korea",2021,6.3,"Life satisfaction","11_1"
"156","KOR","Korea",2020,6,"Life satisfaction","11_1"
"157","LVA","Latvia",2023,6.8686552316,"Life satisfaction","11_1"
"158","LVA","Latvia",2022,6.8309621773,"Life satisfaction","11_1"
"159","LVA","Latvia",2021,6.7447419244,"Life satisfaction","11_1"
"160","LVA","Latvia",2018,6.7377044739,"Life satisfaction","11_1"
"161","LVA","Latvia",2013,6.4682794765,"Life satisfaction","11_1"
"162","LVA","Latvia",2022,7.9395307198,"Satisfaction with personal relationships","7_3"
"163","LVA","Latvia",2018,7.7532103502,"Satisfaction with personal relationships","7_3"
"164","LVA","Latvia",2013,8.0792536176,"Satisfaction with personal relationships","7_3"
"165","LTU","Lithuania",2023,7.188347258,"Life satisfaction","11_1"
"166","LTU","Lithuania",2013,6.729421373,"Life satisfaction","11_1"
"167","LTU","Lithuania",2013,8.027975598,"Satisfaction with personal relationships","7_3"
"168","LTU","Lithuania",2022,7.0921493349,"Life satisfaction","11_1"
"169","LTU","Lithuania",2021,6.9769955556,"Life satisfaction","11_1"
"170","LTU","Lithuania",2018,6.3824132637,"Life satisfaction","11_1"
"171","LTU","Lithuania",2022,7.9632787242,"Satisfaction with personal relationships","7_3"
"172","LTU","Lithuania",2018,7.8453151633,"Satisfaction with personal relationships","7_3"
"173","LUX","Luxembourg",2023,7.2504849558,"Life satisfaction","11_1"
"174","LUX","Luxembourg",2022,7.2097825661,"Life satisfaction","11_1"
"175","LUX","Luxembourg",2021,7.4221141231,"Life satisfaction","11_1"
"176","LUX","Luxembourg",2018,7.5563322403,"Life satisfaction","11_1"
"177","LUX","Luxembourg",2013,7.4342386137,"Life satisfaction","11_1"
"178","LUX","Luxembourg",2022,7.5860315069,"Satisfaction with personal relationships","7_3"
"179","LUX","Luxembourg",2018,7.8129933039,"Satisfaction with personal relationships","7_3"
"180","LUX","Luxembourg",2013,7.999026171,"Satisfaction with personal relationships","7_3"
"181","MEX","Mexico",2021,8.4487109972,"Life satisfaction","11_1"
"182","MEX","Mexico",2021,8.4041832785,"Satisfaction with personal relationships","7_3"
"183","NLD","Netherlands",2013,8.2288040434,"Satisfaction with personal relationships","7_3"
"184","NLD","Netherlands",2022,7.664159679,"Life satisfaction","11_1"
"185","NLD","Netherlands",2023,7.5973402106,"Life satisfaction","11_1"
"186","NLD","Netherlands",2021,7.7317250614,"Life satisfaction","11_1"
"187","NLD","Netherlands",2018,7.6955204698,"Life satisfaction","11_1"
"188","NLD","Netherlands",2013,7.8022760577,"Life satisfaction","11_1"
"189","NLD","Netherlands",2022,8.0331498597,"Satisfaction with personal relationships","7_3"
"190","NLD","Netherlands",2018,7.9287386541,"Satisfaction with personal relationships","7_3"
"191","NZL","New Zealand",2021,7.7,"Life satisfaction","11_1"
"192","NZL","New Zealand",2018,7.7,"Life satisfaction","11_1"
"193","NZL","New Zealand",2016,7.8,"Life satisfaction","11_1"
"194","NZL","New Zealand",2014,7.8,"Life satisfaction","11_1"
"195","NZL","New Zealand",2023,7.6,"Life satisfaction","11_1"
"196","NOR","Norway",2023,7.6345566536,"Life satisfaction","11_1"
"197","NOR","Norway",2022,7.7152424816,"Life satisfaction","11_1"
"198","NOR","Norway",2018,7.9803644317,"Life satisfaction","11_1"
"199","NOR","Norway",2013,7.8856053859,"Life satisfaction","11_1"
"200","NOR","Norway",2022,8.5130138068,"Satisfaction with personal relationships","7_3"
"201","NOR","Norway",2018,8.5368766918,"Satisfaction with personal relationships","7_3"
"202","NOR","Norway",2013,8.4159402455,"Satisfaction with personal relationships","7_3"
"203","NOR","Norway",2021,7.5,"Life satisfaction","11_1"
"204","POL","Poland",2018,8.1025312272,"Satisfaction with personal relationships","7_3"
"205","POL","Poland",2013,7.9702649387,"Satisfaction with personal relationships","7_3"
"206","POL","Poland",2023,7.6173374355,"Life satisfaction","11_1"
"207","POL","Poland",2022,7.6642820518,"Life satisfaction","11_1"
"208","POL","Poland",2021,7.5421897616,"Life satisfaction","11_1"
"209","POL","Poland",2018,7.7310183875,"Life satisfaction","11_1"
"210","POL","Poland",2013,7.3153997162,"Life satisfaction","11_1"
"211","POL","Poland",2022,8.0956308115,"Satisfaction with personal relationships","7_3"
"212","PRT","Portugal",2018,8.203228596,"Satisfaction with personal relationships","7_3"
"213","PRT","Portugal",2023,7.0631781497,"Life satisfaction","11_1"
"214","PRT","Portugal",2022,6.9661353879,"Life satisfaction","11_1"
"215","PRT","Portugal",2021,6.9802413011,"Life satisfaction","11_1"
"216","PRT","Portugal",2018,6.6892248894,"Life satisfaction","11_1"
"217","PRT","Portugal",2013,6.1537453485,"Life satisfaction","11_1"
"218","PRT","Portugal",2022,8.2078514955,"Satisfaction with personal relationships","7_3"
"219","PRT","Portugal",2013,7.8999270852,"Satisfaction with personal relationships","7_3"
"220","ROU","Romania",2023,7.7346323615,"Life satisfaction","11_1"
"221","ROU","Romania",2022,7.6600869926,"Life satisfaction","11_1"
"222","ROU","Romania",2021,7.6936007857,"Life satisfaction","11_1"
"223","ROU","Romania",2018,7.3465985946,"Life satisfaction","11_1"
"224","ROU","Romania",2022,7.8072399477,"Satisfaction with personal relationships","7_3"
"225","ROU","Romania",2018,7.5551687309,"Satisfaction with personal relationships","7_3"
"226","ROU","Romania",2013,7.5473080596,"Satisfaction with personal relationships","7_3"
"227","ROU","Romania",2013,7.133232048,"Life satisfaction","11_1"
"228","SVK","Slovak Republic",2023,7.2861273274,"Life satisfaction","11_1"
"229","SVK","Slovak Republic",2022,7.0444166963,"Life satisfaction","11_1"
"230","SVK","Slovak Republic",2018,7.0670017874,"Life satisfaction","11_1"
"231","SVK","Slovak Republic",2013,6.9514383993,"Life satisfaction","11_1"
"232","SVK","Slovak Republic",2022,7.8933489619,"Satisfaction with personal relationships","7_3"
"233","SVK","Slovak Republic",2018,8.2271744588,"Satisfaction with personal relationships","7_3"
"234","SVK","Slovak Republic",2013,7.9116558755,"Satisfaction with personal relationships","7_3"
"235","SVK","Slovak Republic",2021,7.127231716,"Life satisfaction","11_1"
"236","SVN","Slovenia",2018,7.248027727,"Life satisfaction","11_1"
"237","SVN","Slovenia",2023,7.7353877821,"Life satisfaction","11_1"
"238","SVN","Slovenia",2022,7.5836058625,"Life satisfaction","11_1"
"239","SVN","Slovenia",2021,7.6296672546,"Life satisfaction","11_1"
"240","SVN","Slovenia",2013,6.9515327869,"Life satisfaction","11_1"
"241","SVN","Slovenia",2022,8.5585686942,"Satisfaction with personal relationships","7_3"
"242","SVN","Slovenia",2018,8.5384134141,"Satisfaction with personal relationships","7_3"
"243","SVN","Slovenia",2013,8.3219578287,"Satisfaction with personal relationships","7_3"
"244","ESP","Spain",2023,7.2269001128,"Life satisfaction","11_1"
"245","ESP","Spain",2022,7.1268416488,"Life satisfaction","11_1"
"246","ESP","Spain",2021,7.1921043699,"Life satisfaction","11_1"
"247","ESP","Spain",2018,7.3293713044,"Life satisfaction","11_1"
"248","ESP","Spain",2013,6.8805823872,"Life satisfaction","11_1"
"249","ESP","Spain",2018,8.2491528446,"Satisfaction with personal relationships","7_3"
"250","ESP","Spain",2013,7.8062646597,"Satisfaction with personal relationships","7_3"
"251","ESP","Spain",2022,7.868601518,"Satisfaction with personal relationships","7_3"
"252","SWE","Sweden",2018,7.7965667544,"Life satisfaction","11_1"
"253","SWE","Sweden",2018,8.5360724883,"Satisfaction with personal relationships","7_3"
"254","SWE","Sweden",2023,7.46415539,"Life satisfaction","11_1"
"255","SWE","Sweden",2022,7.5102990697,"Life satisfaction","11_1"
"256","SWE","Sweden",2021,7.5945220982,"Life satisfaction","11_1"
"257","SWE","Sweden",2013,7.9074822893,"Life satisfaction","11_1"
"258","SWE","Sweden",2022,8.3183111195,"Satisfaction with personal relationships","7_3"
"259","SWE","Sweden",2013,8.3088149448,"Satisfaction with personal relationships","7_3"
"260","CHE","Switzerland",2013,8.047416135,"Life satisfaction","11_1"
"261","CHE","Switzerland",2020,8.078755342,"Life satisfaction","11_1"
"262","CHE","Switzerland",2019,8.025741548,"Life satisfaction","11_1"
"263","CHE","Switzerland",2017,7.961845982,"Life satisfaction","11_1"
"264","CHE","Switzerland",2016,7.953,"Life satisfaction","11_1"
"265","CHE","Switzerland",2015,7.949,"Life satisfaction","11_1"
"266","CHE","Switzerland",2014,8.018,"Life satisfaction","11_1"
"267","CHE","Switzerland",2012,8.201,"Life satisfaction","11_1"
"268","CHE","Switzerland",2011,8.151,"Life satisfaction","11_1"
"269","CHE","Switzerland",2010,8.152,"Life satisfaction","11_1"
"270","CHE","Switzerland",2021,8.644956502,"Satisfaction with personal relationships","7_3"
"271","CHE","Switzerland",2020,8.686494916,"Satisfaction with personal relationships","7_3"
"272","CHE","Switzerland",2019,8.648489486,"Satisfaction with personal relationships","7_3"
"273","CHE","Switzerland",2017,8.636507544,"Satisfaction with personal relationships","7_3"
"274","CHE","Switzerland",2016,8.55,"Satisfaction with personal relationships","7_3"
"275","CHE","Switzerland",2015,8.537,"Satisfaction with personal relationships","7_3"
"276","CHE","Switzerland",2014,8.658,"Satisfaction with personal relationships","7_3"
"277","CHE","Switzerland",2012,8.674,"Satisfaction with personal relationships","7_3"
"278","CHE","Switzerland",2011,8.663,"Satisfaction with personal relationships","7_3"
"279","CHE","Switzerland",2010,8.634,"Satisfaction with personal relationships","7_3"
"280","CHE","Switzerland",2023,7.8221484851,"Life satisfaction","11_1"
"281","CHE","Switzerland",2022,7.9759560666,"Life satisfaction","11_1"
"282","CHE","Switzerland",2022,8.6142002878,"Satisfaction with personal relationships","7_3"
"283","CHE","Switzerland",2018,8.6240742552,"Satisfaction with personal relationships","7_3"
"284","CHE","Switzerland",2013,8.6764894493,"Satisfaction with personal relationships","7_3"
"285","CHE","Switzerland",2021,7.894695279,"Life satisfaction","11_1"
"286","CHE","Switzerland",2018,7.963366268,"Life satisfaction","11_1"
"287","TUR","Türkiye",2013,5.8,"Life satisfaction","11_1"
"288","TUR","Türkiye",2023,5.6,"Life satisfaction","11_1"
"289","TUR","Türkiye",2022,5.4,"Life satisfaction","11_1"
"290","TUR","Türkiye",2021,5.6,"Life satisfaction","11_1"
"291","TUR","Türkiye",2018,5.7,"Life satisfaction","11_1"
"292","TUR","Türkiye",2022,6.5,"Satisfaction with personal relationships","7_3"
"293","TUR","Türkiye",2018,7,"Satisfaction with personal relationships","7_3"
"294","TUR","Türkiye",2013,7.5,"Satisfaction with personal relationships","7_3"
"295","GBR","United Kingdom",2022,7.45,"Life satisfaction","11_1"
"296","GBR","United Kingdom",2021,7.54,"Life satisfaction","11_1"
"297","GBR","United Kingdom",2020,7.39,"Life satisfaction","11_1"
"298","GBR","United Kingdom",2019,7.66,"Life satisfaction","11_1"
"299","GBR","United Kingdom",2018,7.71,"Life satisfaction","11_1"
"300","GBR","United Kingdom",2017,7.69,"Life satisfaction","11_1"
"301","GBR","United Kingdom",2016,7.68,"Life satisfaction","11_1"
"302","GBR","United Kingdom",2015,7.65,"Life satisfaction","11_1"
"303","GBR","United Kingdom",2014,7.61,"Life satisfaction","11_1"
"304","GBR","United Kingdom",2013,7.51,"Life satisfaction","11_1"
"305","GBR","United Kingdom",2012,7.46,"Life satisfaction","11_1"
"306","GBR","United Kingdom",2011,7.42,"Life satisfaction","11_1"
"307","GBR","United Kingdom",2018,8.4759386456,"Satisfaction with personal relationships","7_3"
"308","GBR","United Kingdom",2013,8.3436675346,"Satisfaction with personal relationships","7_3"
